
Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:31:19 2024
Timers Off: Fri Nov 22 13:32:55 2024

Wall Time:       96.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Timers On : Mon Nov 25 14:12:36 2024
Timers Off: Mon Nov 25 14:12:38 2024

Wall Time:        1.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.008w     16 calls
DFH: initialize()                   :      0.050u      0.000s      0.086w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.028w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.067s      0.133w      2 calls
SAD Guess                           :      0.000u      0.067s      0.131w      2 calls
HF: Form G                          :      0.100u      0.000s      0.083w     27 calls
JK: D                               :      0.000u      0.000s      0.000w     27 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     27 calls
JK: JK                              :      0.100u      0.000s      0.082w     27 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     17 calls
build_JK_matrices()                 :      0.100u      0.000s      0.067w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.050u      0.000s      0.039w     25 calls
HF: Form C                          :      0.067u      0.000s      0.006w     25 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
DFH: initialize()                   :      0.050u      0.000s      0.086w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.028w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.000u      0.067s      0.133w      2 calls
| SAD Guess                         :      0.000u      0.067s      0.131w      2 calls
HF: Form G                          :      0.100u      0.000s      0.083w     27 calls
| JK: D                             :      0.000u      0.000s      0.000w     27 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     27 calls
| JK: JK                            :      0.100u      0.000s      0.082w     27 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     17 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     17 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w     10 calls
| | build_JK_matrices()             :      0.100u      0.000s      0.067w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.050u      0.000s      0.039w     25 calls
HF: Form C                          :      0.067u      0.000s      0.006w     25 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Mon Nov 25 14:13:54 2024
Timers Off: Mon Nov 25 14:13:56 2024

Wall Time:        1.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      2 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.008w     16 calls
DFH: initialize()                   :      0.067u      0.000s      0.094w      2 calls
DFH: AO Construction                :      0.033u      0.000s      0.010w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.026w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.067u      0.000s      0.102w      2 calls
SAD Guess                           :      0.067u      0.000s      0.100w      2 calls
HF: Form G                          :      0.133u      0.000s      0.082w     27 calls
JK: D                               :      0.000u      0.000s      0.000w     27 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     27 calls
JK: JK                              :      0.133u      0.000s      0.082w     27 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     17 calls
build_JK_matrices()                 :      0.100u      0.000s      0.067w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w     27 calls
HF: Form D                          :      0.000u      0.000s      0.000w     27 calls
HF: DIIS                            :      0.083u      0.000s      0.034w     25 calls
HF: Form C                          :      0.000u      0.000s      0.005w     25 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
DFH: initialize()                   :      0.067u      0.000s      0.094w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      4 calls
| DFH: AO Construction              :      0.033u      0.000s      0.010w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.026w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
